,x,y,Category
210,21.433767,-11.331738,Dress Shoes
211,26.29603,-3.3510804,Dress Shoes
212,21.39414,-2.2944584,Dress Shoes
213,21.163506,-6.6633754,Dress Shoes
214,21.138666,-11.107319,Dress Shoes
215,16.885315,-4.7549314,Dress Shoes
216,21.704767,-6.8381696,Dress Shoes
217,20.828218,-9.370696,Dress Shoes
218,22.406063,-4.748797,Dress Shoes
219,23.988714,-6.219578,Dress Shoes
220,20.690653,-4.4443445,Dress Shoes
221,20.354881,-7.623167,Dress Shoes
222,25.784485,-0.38331857,Dress Shoes
223,16.036495,-8.67778,Dress Shoes
224,22.581488,-5.849419,Dress Shoes
